France, Deformation / Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
   4.2500000    42.5000000      -0.00003       0.00006 
   4.2500000    42.7500000      -0.00008       0.00009 
   4.2500000    43.0000000      -0.00010       0.00012 
   4.2500000    43.2500000      -0.00019       0.00004 
   4.2500000    43.5000000      -0.00016       0.00004 
   4.2500000    43.7500000      -0.00014      -0.00005 
   4.2500000    44.0000000      -0.00003       0.00001 
   4.2500000    44.2500000       0.00003       0.00006 
   4.2500000    44.5000000       0.00005       0.00001 
   4.2500000    44.7500000       0.00020      -0.00002 
   4.2500000    45.0000000       0.00024       0.00002 
   4.2500000    45.2500000       0.00019       0.00014 
   4.2500000    45.5000000       0.00011       0.00012 
   4.2500000    45.7500000       0.00007       0.00009 
   4.2500000    46.0000000       0.00005       0.00005 
   4.2500000    46.2500000       0.00002      -0.00001 
   4.2500000    46.5000000       0.00002      -0.00006 
   4.2500000    46.7500000       0.00006      -0.00009 
   4.2500000    47.0000000       0.00009      -0.00013 
   4.2500000    47.2500000       0.00008      -0.00013 
   4.2500000    47.5000000       0.00006       0.00003 
   4.2500000    47.7500000       0.00008      -0.00011 
   4.2500000    48.0000000       0.00008      -0.00010 
   4.5000000    42.0000000       0.00008      -0.00001 
   4.5000000    42.2500000       0.00004       0.00002 
   4.5000000    42.5000000      -0.00002       0.00005 
   4.5000000    42.7500000      -0.00006       0.00008 
   4.5000000    43.0000000      -0.00004       0.00011 
   4.5000000    43.2500000      -0.00020       0.00002 
   4.5000000    43.5000000      -0.00021      -0.00006 
   4.5000000    43.7500000      -0.00016      -0.00011 
   4.5000000    44.0000000       0.00003      -0.00001 
   4.5000000    44.2500000       0.00006       0.00011 
   4.5000000    44.5000000       0.00003       0.00002 
   4.5000000    44.7500000       0.00030      -0.00002 
   4.5000000    45.0000000       0.00036      -0.00001 
   4.5000000    45.2500000       0.00032       0.00019 
   4.5000000    45.5000000       0.00016       0.00009 
   4.5000000    45.7500000       0.00007       0.00007 
   4.5000000    46.0000000       0.00003       0.00006 
   4.5000000    46.2500000       0.00000       0.00002 
   4.5000000    46.5000000       0.00002      -0.00002 
   4.5000000    46.7500000       0.00005      -0.00007 
   4.5000000    47.0000000       0.00008      -0.00010 
   4.5000000    47.2500000       0.00008       0.00001 
   4.5000000    47.5000000       0.00009      -0.00011 
   4.5000000    47.7500000       0.00008      -0.00010 
   4.5000000    48.0000000       0.00008      -0.00009 
   4.7500000    42.0000000       0.00005      -0.00000 
   4.7500000    42.2500000       0.00009      -0.00002 
   4.7500000    42.5000000       0.00003       0.00001 
   4.7500000    42.7500000      -0.00006       0.00006 
   4.7500000    43.0000000      -0.00015       0.00002 
   4.7500000    43.2500000      -0.00020       0.00003 
   4.7500000    43.5000000      -0.00016      -0.00001 
   4.7500000    43.7500000      -0.00004      -0.00010 
   4.7500000    44.0000000       0.00005      -0.00013 
   4.7500000    44.2500000       0.00002       0.00003 
   4.7500000    44.5000000      -0.00003       0.00003 
   4.7500000    44.7500000       0.00009       0.00001 
   4.7500000    45.0000000       0.00020      -0.00002 
   4.7500000    45.2500000       0.00027       0.00009 
   4.7500000    45.5000000       0.00013      -0.00000 
   4.7500000    45.7500000       0.00007       0.00004 
   4.7500000    46.0000000       0.00001       0.00007 
   4.7500000    46.2500000      -0.00001       0.00005 
   4.7500000    46.5000000       0.00001       0.00001 
   4.7500000    46.7500000       0.00006       0.00002 
   4.7500000    47.0000000       0.00008       0.00001 
   4.7500000    47.2500000       0.00008       0.00002 
   4.7500000    47.5000000       0.00010      -0.00009 
   4.7500000    47.7500000       0.00009      -0.00008 
   4.7500000    48.0000000       0.00008      -0.00009 
   5.0000000    42.0000000       0.00006      -0.00006 
   5.0000000    42.2500000       0.00004      -0.00005 
   5.0000000    42.5000000       0.00001      -0.00003 
   5.0000000    42.7500000      -0.00001       0.00001 
   5.0000000    43.0000000      -0.00011       0.00003 
   5.0000000    43.2500000      -0.00020       0.00003 
   5.0000000    43.5000000      -0.00016       0.00002 
   5.0000000    43.7500000      -0.00005      -0.00000 
   5.0000000    44.0000000      -0.00004      -0.00015 
   5.0000000    44.2500000      -0.00018       0.00002 
   5.0000000    44.5000000      -0.00010      -0.00000 
   5.0000000    44.7500000      -0.00001      -0.00002 
   5.0000000    45.0000000       0.00006      -0.00004 
   5.0000000    45.2500000       0.00013      -0.00008 
   5.0000000    45.5000000       0.00010      -0.00006 
   5.0000000    45.7500000       0.00006       0.00002 
   5.0000000    46.0000000       0.00001       0.00007 
   5.0000000    46.2500000      -0.00004       0.00009 
   5.0000000    46.5000000      -0.00001       0.00005 
   5.0000000    46.7500000      -0.00001       0.00000 
   5.0000000    47.0000000       0.00007      -0.00000 
   5.0000000    47.2500000       0.00011      -0.00006 
   5.0000000    47.5000000       0.00010      -0.00007 
   5.0000000    47.7500000       0.00008      -0.00007 
   5.0000000    48.0000000       0.00007      -0.00007 
   5.2500000    42.0000000       0.00009      -0.00009 
   5.2500000    42.2500000       0.00009      -0.00009 
   5.2500000    42.5000000       0.00009      -0.00009 
   5.2500000    42.7500000       0.00005      -0.00006 
   5.2500000    43.0000000      -0.00006       0.00003 
   5.2500000    43.2500000      -0.00021       0.00005 
   5.2500000    43.5000000      -0.00025       0.00003 
   5.2500000    43.7500000      -0.00004       0.00002 
   5.2500000    44.0000000      -0.00006       0.00000 
   5.2500000    44.2500000      -0.00012       0.00000 
   5.2500000    44.5000000      -0.00010      -0.00001 
   5.2500000    44.7500000      -0.00005      -0.00002 
   5.2500000    45.0000000      -0.00002      -0.00001 
   5.2500000    45.2500000       0.00006      -0.00006 
   5.2500000    45.5000000       0.00002      -0.00005 
   5.2500000    45.7500000       0.00005      -0.00001 
   5.2500000    46.0000000      -0.00001       0.00008 
   5.2500000    46.2500000      -0.00010       0.00006 
   5.2500000    46.5000000      -0.00003       0.00010 
   5.2500000    46.7500000       0.00002       0.00004 
   5.2500000    47.0000000       0.00013      -0.00000 
   5.2500000    47.2500000       0.00014      -0.00004 
   5.2500000    47.5000000       0.00010      -0.00005 
   5.2500000    47.7500000       0.00007      -0.00006 
   5.2500000    48.0000000       0.00005      -0.00006 
   5.5000000    42.0000000       0.00015      -0.00011 
   5.5000000    42.2500000       0.00018      -0.00012 
   5.5000000    42.5000000       0.00018      -0.00013 
   5.5000000    42.7500000       0.00013      -0.00013 
   5.5000000    43.0000000      -0.00008       0.00004 
   5.5000000    43.2500000      -0.00005       0.00004 
   5.5000000    43.5000000      -0.00004       0.00002 
   5.5000000    43.7500000      -0.00003       0.00001 
   5.5000000    44.0000000      -0.00007       0.00007 
   5.5000000    44.2500000      -0.00009       0.00001 
   5.5000000    44.5000000      -0.00010      -0.00002 
   5.5000000    44.7500000      -0.00012      -0.00002 
   5.5000000    45.0000000      -0.00028       0.00010 
   5.5000000    45.2500000       0.00005       0.00000 
   5.5000000    45.5000000       0.00003      -0.00004 
   5.5000000    45.7500000       0.00002      -0.00000 
   5.5000000    46.0000000      -0.00002       0.00007 
   5.5000000    46.2500000      -0.00015       0.00017 
   5.5000000    46.5000000      -0.00008      -0.00002 
   5.5000000    46.7500000       0.00009       0.00007 
   5.5000000    47.0000000       0.00029       0.00003 
