Deformation / Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
   6.0000000    46.0000000      -0.00013      -0.00000 
   6.0000000    47.0000000       0.00009      -0.00002 
   6.0000000    48.0000000      -0.00009       0.00002 
   6.0000000    49.0000000      -0.00017       0.00034 
   6.0000000    50.0000000      -0.00031       0.00010 
   6.0000000    51.0000000      -0.00022       0.00011 
   6.0000000    52.0000000      -0.00020       0.00014 
   6.0000000    53.0000000      -0.00019       0.00017 
   7.0000000    42.0000000      -0.00008      -0.00005 
   7.0000000    43.0000000      -0.00010       0.00005 
   7.0000000    44.0000000       0.00003      -0.00008 
   7.0000000    45.0000000       0.00021      -0.00018 
   7.0000000    46.0000000      -0.00026      -0.00003 
   7.0000000    47.0000000      -0.00009       0.00025 
   7.0000000    48.0000000       0.00015      -0.00006 
   7.0000000    49.0000000      -0.00009      -0.00011 
   7.0000000    50.0000000      -0.00027      -0.00011 
   7.0000000    51.0000000      -0.00029       0.00003 
   7.0000000    52.0000000      -0.00025       0.00012 
   7.0000000    53.0000000      -0.00024       0.00024 
   8.0000000    42.0000000      -0.00010      -0.00010 
   8.0000000    43.0000000      -0.00002       0.00006 
   8.0000000    44.0000000       0.00015       0.00018 
   8.0000000    45.0000000      -0.00000      -0.00049 
   8.0000000    46.0000000      -0.00017      -0.00003 
   8.0000000    47.0000000      -0.00004       0.00032 
   8.0000000    48.0000000       0.00015       0.00019 
   8.0000000    49.0000000      -0.00020      -0.00007 
   8.0000000    50.0000000      -0.00027      -0.00018 
   8.0000000    51.0000000      -0.00028       0.00001 
   8.0000000    52.0000000      -0.00022       0.00019 
   8.0000000    53.0000000      -0.00024       0.00021 
   9.0000000    42.0000000      -0.00009      -0.00001 
   9.0000000    43.0000000       0.00002       0.00037 
   9.0000000    44.0000000       0.00015       0.00014 
   9.0000000    45.0000000      -0.00005       0.00005 
   9.0000000    46.0000000      -0.00035       0.00027 
   9.0000000    47.0000000      -0.00010       0.00030 
   9.0000000    48.0000000       0.00011       0.00030 
   9.0000000    49.0000000       0.00005       0.00007 
   9.0000000    50.0000000      -0.00031      -0.00015 
   9.0000000    51.0000000      -0.00022       0.00004 
   9.0000000    52.0000000      -0.00018       0.00019 
   9.0000000    53.0000000      -0.00022       0.00018 
  10.0000000    42.0000000       0.00004       0.00041 
  10.0000000    43.0000000      -0.00001       0.00078 
  10.0000000    44.0000000       0.00034       0.00153 
  10.0000000    45.0000000       0.00014       0.00136 
  10.0000000    46.0000000      -0.00034       0.00051 
  10.0000000    47.0000000      -0.00018       0.00039 
  10.0000000    48.0000000       0.00002       0.00035 
  10.0000000    49.0000000       0.00000       0.00003 
  10.0000000    50.0000000      -0.00009      -0.00015 
  10.0000000    51.0000000      -0.00011       0.00002 
  10.0000000    52.0000000      -0.00012       0.00014 
  10.0000000    53.0000000      -0.00018       0.00006 
  11.0000000    42.0000000       0.00016       0.00084 
  11.0000000    43.0000000       0.00012       0.00114 
  11.0000000    44.0000000       0.00047       0.00216 
  11.0000000    45.0000000       0.00048       0.00233 
  11.0000000    46.0000000      -0.00012       0.00073 
  11.0000000    47.0000000      -0.00012       0.00060 
  11.0000000    48.0000000      -0.00005       0.00029 
  11.0000000    49.0000000      -0.00002      -0.00001 
  11.0000000    50.0000000       0.00006      -0.00026 
  11.0000000    51.0000000      -0.00003      -0.00012 
  11.0000000    52.0000000      -0.00012       0.00003 
  11.0000000    53.0000000      -0.00019       0.00001 
  12.0000000    42.0000000       0.00036       0.00135 
  12.0000000    43.0000000       0.00033       0.00123 
  12.0000000    44.0000000       0.00052       0.00202 
  12.0000000    45.0000000       0.00028       0.00166 
  12.0000000    46.0000000      -0.00019       0.00137 
  12.0000000    47.0000000      -0.00017       0.00063 
  12.0000000    48.0000000      -0.00008       0.00048 
  12.0000000    49.0000000       0.00002       0.00008 
  12.0000000    50.0000000       0.00011      -0.00030 
  12.0000000    51.0000000      -0.00002      -0.00026 
  12.0000000    52.0000000      -0.00016      -0.00010 
  12.0000000    53.0000000      -0.00021      -0.00004 
  13.0000000    42.0000000       0.00061       0.00199 
  13.0000000    43.0000000       0.00076       0.00286 
  13.0000000    44.0000000       0.00043       0.00236 
  13.0000000    45.0000000       0.00002       0.00209 
  13.0000000    46.0000000      -0.00042       0.00207 
  13.0000000    47.0000000       0.00015       0.00083 
  13.0000000    48.0000000      -0.00007       0.00073 
  13.0000000    49.0000000       0.00002       0.00021 
  13.0000000    50.0000000       0.00001      -0.00023 
  13.0000000    51.0000000      -0.00013      -0.00032 
  13.0000000    52.0000000      -0.00022      -0.00019 
  13.0000000    53.0000000      -0.00024      -0.00011 
  14.0000000    42.0000000       0.00043       0.00282 
  14.0000000    43.0000000       0.00084       0.00319 
  14.0000000    44.0000000       0.00039       0.00291 
  14.0000000    45.0000000      -0.00007       0.00279 
  14.0000000    46.0000000      -0.00036       0.00213 
  14.0000000    47.0000000       0.00038       0.00101 
  14.0000000    48.0000000       0.00013       0.00041 
  14.0000000    49.0000000       0.00003       0.00002 
  14.0000000    50.0000000      -0.00009      -0.00022 
  14.0000000    51.0000000      -0.00024      -0.00034 
  14.0000000    52.0000000      -0.00026      -0.00025 
  14.0000000    53.0000000      -0.00026      -0.00015 
  15.0000000    42.0000000       0.00063       0.00287 
  15.0000000    43.0000000       0.00059       0.00311 
  15.0000000    44.0000000       0.00024       0.00298 
  15.0000000    45.0000000      -0.00002       0.00266 
