# Normal Strain Field, 
# Long [deg],   Lat [deg],   Eps1,          Eps2,         AziEps2 [deg] 
  -3.6250000    52.3750000  +2.852939e-10  -5.227111e-10     140.05 
  -3.6250000    52.6250000  +2.786308e-10  -4.764410e-10     139.41 
  -3.6250000    52.8750000  +2.709093e-10  -4.372893e-10     138.75 
  -3.3750000    42.1250000  +1.269677e-09  -7.883188e-10      57.43 
  -3.3750000    42.3750000  +3.155996e-10  -2.799589e-10      81.35 
  -3.3750000    42.6250000  +2.913330e-10  -3.104154e-10      76.91 
  -3.3750000    42.8750000  +2.690701e-10  -3.393077e-10      72.38 
  -3.3750000    43.1250000  +2.008097e-09  -8.121673e-09     151.65 
  -3.3750000    43.3750000  +1.519565e-08  -1.915612e-09      19.11 
  -3.3750000    43.6250000  +6.052192e-10  -4.037093e-10      29.29 
  -3.3750000    43.8750000  +4.090434e-09  +3.553028e-10      80.86 
  -3.3750000    44.1250000  +9.065109e-11  -1.945892e-09     129.00 
  -3.3750000    44.3750000  +5.556049e-10  -8.034645e-10      12.86 
  -3.3750000    44.6250000  +1.004693e-09  -2.094811e-09      21.32 
  -3.3750000    44.8750000  +6.973740e-10  +3.365921e-11      13.56 
  -3.3750000    45.1250000  +8.655673e-10  -8.642331e-10       8.22 
  -3.3750000    45.3750000  +9.502090e-10  -8.951563e-10       6.26 
  -3.3750000    45.6250000  +1.229937e-09  +4.075835e-10      30.65 
  -3.3750000    45.8750000  +1.519527e-09  -4.177925e-09      17.71 
  -3.3750000    46.1250000  +8.391543e-10  -6.885167e-10     169.39 
  -3.3750000    46.3750000  +8.582848e-10  -8.875138e-10     170.91 
  -3.3750000    46.6250000  +9.697509e-10  -1.096486e-09     166.94 
  -3.3750000    46.8750000  +1.022684e-09  -1.331129e-09     178.32 
  -3.3750000    47.1250000  +1.355986e-09  -1.682076e-09       3.35 
  -3.3750000    47.3750000  +2.491201e-09  -2.360197e-09      10.22 
  -3.3750000    47.6250000  +2.453533e-08  -1.467993e-10      58.88 
  -3.3750000    47.8750000  +1.056086e-08  -4.699564e-10      55.56 
  -3.3750000    48.1250000  +3.004985e-09  -6.950637e-10      52.79 
  -3.3750000    48.3750000  +5.264158e-10  -7.637451e-10      62.11 
  -3.3750000    48.6250000  -7.164036e-10  -1.271614e-09     133.56 
  -3.3750000    48.8750000  -6.682662e-10  -2.210354e-09     147.35 
  -3.3750000    49.1250000  -5.244821e-10  -2.589396e-09     150.19 
  -3.3750000    49.3750000  -3.466413e-10  -2.615240e-09     150.36 
  -3.3750000    49.6250000  -1.695193e-10  -2.433394e-09     149.21 
  -3.3750000    49.8750000  -2.167275e-11  -2.142782e-09     147.75 
  -3.3750000    50.1250000  -8.520103e-12  -1.715308e-09     133.26 
  -3.3750000    50.3750000  +2.592703e-10  -1.519558e-09     142.61 
  -3.3750000    50.6250000  +2.933250e-10  -1.271722e-09     141.74 
  -3.3750000    50.8750000  +3.104915e-10  -1.073387e-09     141.14 
  -3.3750000    51.1250000  +3.183012e-10  -9.176121e-10     140.69 
  -3.3750000    51.3750000  +3.206087e-10  -7.953199e-10     140.30 
  -3.3750000    51.6250000  +3.193106e-10  -6.984622e-10     139.90 
  -3.3750000    51.8750000  +3.154056e-10  -6.207583e-10     139.46 
  -3.3750000    52.1250000  +3.095114e-10  -5.575427e-10     138.97 
  -3.3750000    52.3750000  +3.020838e-10  -5.054041e-10     138.43 
  -3.3750000    52.6250000  +2.934988e-10  -4.618472e-10     137.84 
  -3.3750000    52.8750000  +2.840788e-10  -4.250301e-10     137.23 
  -3.1250000    42.1250000  +2.416639e-09  +2.573482e-10      26.81 
  -3.1250000    42.3750000  +3.353696e-10  -2.894797e-10      82.34 
  -3.1250000    42.6250000  +3.068501e-10  -3.246443e-10      77.62 
  -3.1250000    42.8750000  +2.806847e-10  -3.584042e-10      72.79 
  -3.1250000    43.1250000  +1.901672e-09  -5.473675e-10      71.34 
  -3.1250000    43.3750000  +1.953912e-09  -9.521182e-09     153.33 
  -3.1250000    43.6250000  +5.281486e-09  -1.693927e-09      28.08 
  -3.1250000    43.8750000  +1.779792e-09  +4.637094e-10      89.01 
  -3.1250000    44.1250000  +2.013487e-09  -1.621201e-10      51.10 
  -3.1250000    44.3750000  +5.404121e-11  -1.457794e-09     136.00 
  -3.1250000    44.6250000  +1.105523e-09  -2.061222e-09      21.76 
  -3.1250000    44.8750000  +8.280756e-10  +1.119779e-11      17.49 
  -3.1250000    45.1250000  +1.005062e-09  -8.380153e-10       9.88 
  -3.1250000    45.3750000  +1.117300e-09  -8.539533e-10       8.17 
  -3.1250000    45.6250000  +1.416188e-09  +3.886920e-10      27.27 
  -3.1250000    45.8750000  +9.209285e-10  -3.532370e-09       8.99 
  -3.1250000    46.1250000  +1.046279e-09  -5.508368e-10     174.90 
  -3.1250000    46.3750000  +1.125292e-09  -7.196137e-10     177.29 
  -3.1250000    46.6250000  +9.649727e-10  -8.200834e-10     168.61 
  -3.1250000    46.8750000  +1.589806e-09  -9.632934e-10       8.27 
  -3.1250000    47.1250000  +2.382504e-09  -9.381015e-10      18.07 
  -3.1250000    47.3750000  +5.459160e-09  -3.607944e-10      38.02 
  -3.1250000    47.6250000  +1.961821e-08  -6.748762e-11      59.25 
  -3.1250000    47.8750000  +5.010282e-09  -1.338798e-09      79.43 
  -3.1250000    48.1250000  +5.055915e-10  -1.334721e-09      94.52 
  -3.1250000    48.3750000  -3.673937e-10  -1.044383e-09      96.81 
  -3.1250000    48.6250000  -7.638465e-10  -1.623950e-09     137.92 
  -3.1250000    48.8750000  -7.141451e-10  -2.324005e-09     147.63 
  -3.1250000    49.1250000  -5.590110e-10  -2.673387e-09     149.71 
  -3.1250000    49.3750000  -3.529379e-10  -2.701822e-09     149.07 
  -3.1250000    49.6250000  -1.386117e-10  -2.498780e-09     147.10 
  -3.1250000    49.8750000  +2.706923e-10  -2.110352e-09     140.68 
  -3.1250000    50.1250000  +2.684189e-10  -1.797289e-09     141.14 
  -3.1250000    50.3750000  +3.218184e-10  -1.474786e-09     139.91 
  -3.1250000    50.6250000  +3.436193e-10  -1.216260e-09     139.21 
  -3.1250000    50.8750000  +3.508984e-10  -1.018211e-09     138.81 
  -3.1250000    51.1250000  +3.515680e-10  -8.677116e-10     138.56 
  -3.1250000    51.3750000  +3.487479e-10  -7.522231e-10     138.32 
  -3.1250000    51.6250000  +3.436108e-10  -6.620853e-10     138.05 
  -3.1250000    51.8750000  +3.366668e-10  -5.903987e-10     137.71 
  -3.1250000    52.1250000  +3.282451e-10  -5.323399e-10     137.30 
  -3.1250000    52.3750000  +3.186418e-10  -4.845307e-10     136.82 
  -3.1250000    52.6250000  +3.081458e-10  -4.445753e-10     136.29 
  -3.1250000    52.8750000  +5.621859e-09  -1.718203e-10      98.40 
  -2.8750000    42.1250000  +7.768435e-10  -2.708862e-10      86.39 
  -2.8750000    42.3750000  +3.575565e-10  -2.450914e-09      93.06 
  -2.8750000    42.6250000  +3.243681e-10  -3.394810e-10      78.41 
  -2.8750000    42.8750000  +2.933714e-10  -3.791640e-10      73.24 
  -2.8750000    43.1250000  +1.858040e-09  -5.598592e-10      71.60 
  -2.8750000    43.3750000  +1.697486e-09  -6.617939e-09     140.71 
  -2.8750000    43.6250000  +8.924733e-09  -3.793438e-09       5.91 
  -2.8750000    43.8750000  +5.501598e-09  +3.598883e-11      33.16 
  -2.8750000    44.1250000  +9.227390e-10  -8.590014e-10      19.76 
  -2.8750000    44.3750000  +1.852099e-09  -1.296682e-10      45.11 
  -2.8750000    44.6250000  -1.402287e-10  -1.595994e-09       9.20 
  -2.8750000    44.8750000  +5.637772e-10  -1.632505e-09      63.06 
  -2.8750000    45.1250000  +1.137623e-09  -7.946578e-10      11.45 
  -2.8750000    45.3750000  +1.276749e-09  -7.895463e-10       9.99 
  -2.8750000    45.6250000  +1.421996e-09  -8.039789e-10       8.69 
  -2.8750000    45.8750000  +2.380510e-09  -2.631860e-09      24.42 
  -2.8750000    46.1250000  +1.252046e-09  -3.814785e-10     179.66 
  -2.8750000    46.3750000  +1.378186e-09  -7.435544e-10     179.03 
  -2.8750000    46.6250000  +1.625916e-09  -1.732866e-10       7.17 
  -2.8750000    46.8750000  +2.063151e-09  -5.146101e-10      16.88 
  -2.8750000    47.1250000  +3.176693e-09  -2.805343e-10      30.34 
  -2.8750000    47.3750000  +6.450528e-09  +7.008124e-11      47.89 
  -2.8750000    47.6250000  +1.108514e-08  -7.955790e-11      59.56 
  -2.8750000    47.8750000  +5.384015e-09  -8.069820e-10      71.91 
  -2.8750000    48.1250000  +8.292779e-10  -1.462431e-09      93.29 
  -2.8750000    48.3750000  -4.506388e-10  -1.436661e-09     110.03 
  -2.8750000    48.6250000  -8.292121e-10  -1.851022e-09     139.23 
  -2.8750000    48.8750000  -7.816424e-10  -2.424164e-09     149.01 
  -2.8750000    49.1250000  -6.096397e-10  -2.751281e-09     150.53 
  -2.8750000    49.3750000  -3.657723e-10  -2.773616e-09     148.77 
  -2.8750000    49.6250000  -9.671699e-11  -2.537608e-09     145.48 
  -2.8750000    49.8750000  +3.583720e-10  -2.114623e-09     138.62 
  -2.8750000    50.1250000  +3.526810e-10  -1.730677e-09     138.41 
  -2.8750000    50.3750000  +3.871323e-10  -1.384831e-09     137.22 
  -2.8750000    50.6250000  +3.925673e-10  -1.126352e-09     136.70 
  -2.8750000    50.8750000  +3.889548e-10  -9.386404e-10     136.53 
  -2.8750000    51.1250000  +3.826781e-10  -8.009065e-10     136.48 
  -2.8750000    51.3750000  +3.752061e-10  -6.973835e-10     136.42 
  -2.8750000    51.6250000  +3.666664e-10  -6.174518e-10     136.27 
  -2.8750000    51.8750000  +3.570054e-10  -5.541461e-10     136.02 
  -2.8750000    52.1250000  +3.462735e-10  -5.028687e-10     135.67 
  -2.8750000    52.3750000  +3.346349e-10  -4.605256e-10     135.24 
  -2.8750000    52.6250000  +3.223181e-10  -4.249805e-10     134.75 
  -2.8750000    52.8750000  +7.103012e-09  -3.083007e-09      67.65 
  -2.6250000    42.1250000  +9.265096e-10  -7.351695e-10     121.94 
  -2.6250000    42.3750000  +2.189650e-09  +2.308835e-10      29.67 
  -2.6250000    42.6250000  +3.443929e-10  -3.547791e-10      79.28 
  -2.6250000    42.8750000  +3.073576e-10  -4.017243e-10      73.73 
  -2.6250000    43.1250000  +2.768916e-10  -4.430043e-10      68.20 
  -2.6250000    43.3750000  +1.702657e-09  -5.688542e-10      70.73 
  -2.6250000    43.6250000  +1.385376e-09  -4.856379e-09     148.09 
  -2.6250000    43.8750000  +8.190752e-09  -1.970271e-09       4.46 
  -2.6250000    44.1250000  +9.644479e-10  -8.742563e-10      20.57 
  -2.6250000    44.3750000  +1.098641e-09  -8.385190e-10      19.38 
  -2.6250000    44.6250000  +2.271311e-09  -3.463719e-10      37.18 
  -2.6250000    44.8750000  +2.779470e-09  -7.470151e-10     170.97 
  -2.6250000    45.1250000  +2.619029e-09  -6.725885e-10     173.91 
  -2.6250000    45.3750000  +1.420660e-09  -7.037691e-10      11.72 
  -2.6250000    45.6250000  +1.597867e-09  -6.909733e-10      10.63 
  -2.6250000    45.8750000  +2.536809e-09  -2.380584e-09      24.22 
  -2.6250000    46.1250000  +1.442115e-09  -1.941756e-10       3.74 
  -2.6250000    46.3750000  +1.583137e-09  -4.768294e-10       3.45 
  -2.6250000    46.6250000  +1.877920e-09  +1.277074e-10      13.19 
  -2.6250000    46.8750000  +2.519280e-09  +6.496567e-11      15.88 
  -2.6250000    47.1250000  +3.444474e-09  +5.325214e-11      37.17 
  -2.6250000    47.3750000  +5.606320e-09  +1.385427e-10      50.60 
  -2.6250000    47.6250000  +7.063736e-09  -1.142218e-10      59.75 
  -2.6250000    47.8750000  +4.283763e-09  -6.452058e-10      69.11 
  -2.6250000    48.1250000  +1.018035e-09  -1.153799e-09      84.09 
  -2.6250000    48.3750000  -5.089673e-10  -1.390120e-09     106.72 
  -2.6250000    48.6250000  -9.322608e-10  -1.886480e-09     142.42 
  -2.6250000    48.8750000  -8.689506e-10  -2.480218e-09     152.33 
  -2.6250000    49.1250000  -6.804532e-10  -2.822905e-09     153.03 
  -2.6250000    49.3750000  -3.963127e-10  -2.836343e-09     149.70 
