Long [deg],  Lat[deg],    Ve[m/yr],  Vn[m/yr],  SVe[m/yr], SVn[m/yr], angle[deg],    Name
-2.5000000  44.0000000   -0.00039   0.00016     0.000078    0.000033    0.0 
-2.5000000  44.5000000   -0.00033   0.00014     0.000084    0.000049    0.0 
-2.5000000  45.0000000   -0.00026   0.00015     0.000067    0.000002    0.0 
-2.5000000  45.5000000   -0.00023   0.00012     0.000062    0.000020    0.0 
-2.5000000  46.0000000   -0.00022   0.00011     0.000024    0.000020    0.0 
-2.5000000  46.5000000   -0.00020   0.00002     0.000072    0.000045    0.0 
-2.5000000  47.0000000   -0.00022   0.00002     0.000082    0.000065    0.0 
-2.5000000  47.5000000   -0.00015   0.00011     0.000078    0.000063    0.0 
-2.5000000  48.0000000   -0.00001   0.00027     0.000079    0.000063    0.0 
-2.5000000  48.5000000    0.00007   0.00028     0.000081    0.000065    0.0 
-2.5000000  49.0000000    0.00011   0.00022     0.000068    0.000063    0.0 
-2.5000000  49.5000000    0.00010   0.00013     0.000064    0.000060    0.0 
-2.5000000  50.0000000    0.00011   0.00009     0.000059    0.000036    0.0 
-2.5000000  50.5000000    0.00013   0.00008     0.000077    0.000085    0.0 
-2.5000000  51.0000000    0.00014   0.00008     0.000087    0.000098    0.0 
-2.5000000  51.5000000    0.00014   0.00016     0.000113    0.000076    0.0 
-2.5000000  52.0000000    0.00014   0.00018     0.000123    0.000088    0.0 
-2.5000000  52.5000000    0.00013   0.00021     0.000133    0.000098    0.0 
-2.5000000  53.0000000    0.00018   0.00008     0.000048    0.000043    0.0 
-2.0000000  41.0000000   -0.00022   0.00009     0.000202    0.000212    0.0 
-2.0000000  41.5000000   -0.00024   0.00011     0.000195    0.000207    0.0 
-2.0000000  42.0000000   -0.00025   0.00014     0.000187    0.000205    0.0 
-2.0000000  42.5000000   -0.00024   0.00023     0.000122    0.000128    0.0 
-2.0000000  43.0000000   -0.00023   0.00026     0.000095    0.000123    0.0 
-2.0000000  43.5000000   -0.00019   0.00031     0.000132    0.000108    0.0 
-2.0000000  44.0000000   -0.00015   0.00030     0.000135    0.000099    0.0 
-2.0000000  44.5000000   -0.00029   0.00016     0.000080    0.000044    0.0 
-2.0000000  45.0000000   -0.00024   0.00014     0.000072    0.000025    0.0 
-2.0000000  45.5000000   -0.00016   0.00014     0.000059    0.000026    0.0 
-2.0000000  46.0000000   -0.00014   0.00012     0.000056    0.000029    0.0 
-2.0000000  46.5000000   -0.00012   0.00009     0.000067    0.000044    0.0 
