Long, [deg]     Lat, [deg]   velE,[mm/yr]  velN,[mm/yr]   Marker
2.340871         43.720339     0.0000      0.000080      MOLA 
5.841100         48.612319     0.0000      0.000150      MOLV 
4.067810         45.715692     0.0000     -0.000575      MONT 
10.949194        44.629353     0.0000     -0.004658      MOPS 
6.783817         48.675187     0.0000     -0.000335      MOUS 
12.987682        46.240753     0.0000      0.000300      MPRA 
3.864840         43.637438     0.0000     -0.000703      MTPL 
7.227261         43.703264     0.0000     -0.000375      NICA 
7.299975         43.725499     0.0000     -0.000446      NICE 
12.588417        45.668435     0.0000     -0.002827      NOVE 
7.765301         45.041548     0.0000     -0.000937      OATO 
11.279870        48.086170     0.0000      0.000818      OBE2 
11.277855        48.084804     0.0000      0.003575      OBE4 
6.539668         44.787801     0.0000      0.000165      OGAG 
11.896062        45.411154     0.0000     -0.001052      PADO 
4.810461         43.375972     0.0000     -0.001194      PALI 
2.823472         43.431371     0.0000      0.000018      PARD 
8.081126         44.445991     0.0000     -0.000585      PARO 
11.460184        47.208003     0.0000     -0.003639      PAT2 
11.460184        47.208003     0.0000     -0.000916      PATK 
13.052551        45.805722     0.0000      0.002460      PAZO 
9.784664         47.515329     0.0000      0.000369      PFA2 
9.784664         47.515329     0.0000      0.001110      PFAN 
6.228908         43.301013     0.0000     -0.000346      PIGN 
356.572660       47.746115     0.0000     -0.001409      PLOE 
8.159416         44.109545     0.0000     -0.000790      POGG 
5.472512         45.249316     0.0000     -0.000550      POLI 
10.108813        45.886006     0.0000      0.000065      PORA 
13.595045        45.226016     0.0000      0.001622      PORE 
13.066091        52.379298     0.0000      0.000599      POTS 
6.206093         42.983284     0.0000     -0.000072      PQRL 
11.099127        43.885563     0.0000     -0.003188      PRAT 
3.314374         43.693364     0.0000     -0.000031      PUEC 
6.478953         44.857670     0.0000      0.000667      PUYA 
3.878872         45.043618     0.0000     -0.005011      PUYV 
6.977063         44.267821     0.0000      0.000108      RABU 
13.486383        48.203417     0.0000      0.000229      RIED 
7.378009         47.733284     0.0000      0.000383      RIXH 
13.995357        48.569836     0.0000      0.000390      ROHR 
6.628228         45.691489     0.0000      0.001516      ROSD 
11.042101        45.893505     0.0000      0.002738      ROVE 
5.483697         43.940957     0.0000     -0.000410      RSTL 
4.905807         45.713776     0.0000     -0.000796      SAPI 
4.466917         44.255451     0.0000     -0.000442      SAUV 
13.110430        47.803421     0.0000      0.001692      SBG2 
13.110430        47.803421     0.0000      0.000666      SBGZ 
3.699116         43.397649     0.0000     -0.000094      SETE 
5.416493         46.224714     0.0000     -0.000433      SIMA 
4.676575         45.879085     0.0000     -0.000820      SJDV 
