Long, [deg]     Lat, [deg]   velE,[mm/yr]  velN,[mm/yr]    SITE
5.841100         48.612319     0.001037      0.001847      MOLV 
4.067810         45.715692     0.000015      0.000938      MONT 
10.949194        44.629353     0.001244      0.006165      MOPS 
6.783817         48.675187     0.000969      0.001216      MOUS 
12.987682        46.240753     0.000270      0.002809      MPRA 
3.864840         43.637438     0.000607      0.001353      MTPL 
7.227261         43.703264     0.000929      0.001747      NICA 
7.299975         43.725499     0.000753      0.001286      NICE 
12.588417        45.668435     0.001608      0.002522      NOVE 
7.765301         45.041548     0.000597      0.000758      OATO 
11.279870        48.086170     0.000094      0.001712      OBE2 
11.277855        48.084804    -0.000523      0.001065      OBE4 
6.539668         44.787801     0.001364      0.001808      OGAG 
11.896062        45.411154     0.000868      0.002686      PADO 
4.810461         43.375972     0.000289      0.001611      PALI 
2.823472         43.431371     0.000728      0.001610      PARD 
8.081126         44.445991     0.000995      0.001250      PARO 
11.460184        47.208003    -0.000474      0.003532      PAT2 
11.460184        47.208003    -0.000015      0.003034      PATK 
13.052551        45.805722     0.001106      0.003220      PAZO 
9.784664         47.515329     0.001815      0.002489      PFA2 
9.784664         47.515329     0.001158      0.001754      PFAN 
6.228908         43.301013     0.000267      0.001533      PIGN 
356.572660       47.746115     0.000130      0.001581      PLOE 
8.159416         44.109545     0.001291      0.001612      POGG 
5.472512         45.249316     0.000455      0.001466      POLI 
10.108813        45.886006     0.001195      0.001201      PORA 
13.595045        45.226016    -0.000446      0.004364      PORE 
13.066091        52.379298     0.000365      0.002217      POTS 
6.206093         42.983284     0.001306      0.001504      PQRL 
11.099127        43.885563     0.001234      0.005959      PRAT 
3.314374         43.693364     0.000665      0.001523      PUEC 
6.478953         44.857670     0.001011      0.001365      PUYA 
3.878872         45.043618     0.000887      0.001339      PUYV 
6.977063         44.267821     0.000913      0.001161      RABU 
13.486383        48.203417     0.001570      0.001636      RIED 
7.378009         47.733284     0.000655      0.001721      RIXH 
13.995357        48.569836     0.001020      0.001196      ROHR 
6.628228         45.691489     0.000287      0.001307      ROSD 
11.042101        45.893505     0.000365      0.002701      ROVE 
5.483697         43.940957     0.000408      0.001399      RSTL 
4.905807         45.713776     0.000776      0.001433      SAPI 
4.466917         44.255451     0.000544      0.001369      SAUV 
13.110430        47.803421     0.000853      0.001305      SBG2 
13.110430        47.803421     0.002218      0.001678      SBGZ 
3.699116         43.397649     0.001468      0.000424      SETE 
5.416493         46.224714     0.000505      0.001203      SIMA 
4.676575         45.879085     0.000565      0.001521      SJDV 
3.268258         43.919804     0.000592      0.001642      SLVT 
9.850253         46.170034     0.000967      0.001067      SOND 
7.054099         43.611428     0.000689      0.001336      SOPH 
2.434971         42.727549     0.000608      0.000745      SOUR 
16.583055        47.683647     0.000345      0.002271      SPRN 
5.761779         45.235219     0.000247      0.001474      STEY 
4.573845         44.185335     0.000506      0.001222      STGR 
7.683817         48.621662     0.000655      0.001464      STJ9 
4.421633         43.449147     0.000288      0.001273      STMR 
12.208518        45.857011     0.000581      0.002606      SUSE 
4.287464         45.124570     0.000911      0.001868      TENC 
1.480890         43.560695     0.000569      0.001815      TLSE 
7.661281         45.063368     0.001488      0.001520      TORI 
5.902154         45.677684     0.000354      0.001280      TRES 
15.858910        47.927964     0.000821      0.001610      TRF2 
15.858910        47.927964     0.000904      0.001451      TRFB 
13.763520        45.709757     0.000341      0.003849      TRIE 
5.075139         46.725588     0.000685      0.001384      TROC 
6.601010         43.219484     0.000538      0.001517      TROP 
13.253019        46.037479     0.000175      0.003332      UDI1 
13.253019        46.037160    -0.001955      0.003370      UDIN 
12.355703        43.119391    -0.000016      0.003056      UNPG 
6.723683         43.797465     0.000500      0.000863      VALD 
12.565343        46.457089     0.002043      0.001611      VARM 
5.826555         47.659570     0.000400      0.001745      VAUC 
12.354078        45.430570     0.000225      0.002331      VEN1 
12.331984        45.436982    -0.000040      0.002652      VENE 
1.719674         47.294195     0.001260      0.001488      VFCH 
6.291576         49.203945     0.000717      0.002481      VIGY 
13.850453        46.607030     0.000748      0.003495      VLCH 
14.626065        46.661410     0.001681      0.001523      VLKM 
12.807533        47.651198     0.000807      0.001861      WART 
14.020736        48.158343     0.001133      0.001595      WELS 
16.373082        48.218857     0.000029      0.002027      WIEN 
7.351298         48.415171     0.000562      0.001009      WLBH 
12.876497        49.145120     0.000551      0.001485      WT21 
12.878909        49.144199     0.000988      0.001593      WTZR 
15.227589        44.113176     0.000103      0.004620      ZADA 
7.465030         46.877094     0.000468      0.001561      ZIM2 
7.465276         46.877098     0.000553      0.001825      ZIMM 
12.973552        46.557220     0.000969      0.002274      ZOUF 
