Site       Longitude         Latitude         Height            Ve_res  SVe      Vn_res  SVn      Vu     Svu      Start    End    Tobs  
	      deg               deg             m                  mm/yr            mm/yr             mm/yr      yyyy.y   yyyy.y  years		
VIGY       6.2915779        49.2039455        310.29607        -0.32 ± 0.24      0.57 ± 0.29     -0.07 ± 0.96    2010.4 - 2014.7   4.3 
VLCH      13.8504550        46.6070306        572.07245         0.16 ± 0.06      0.91 ± 0.08      0.84 ± 0.24    2004.0 - 2016.4  12.4 
VLKM      14.6260666        46.6614108        527.31056         0.71 ± 0.28      1.11 ± 0.35      0.05 ± 1.13    2004.0 - 2016.4  10.7 
WART      12.8075351        47.6511983       1749.42831         0.03 ± 0.05      0.52 ± 0.06      0.50 ± 0.21    2005.6 - 2016.1  10.5 
WELS      14.0207379        48.1583438        385.19551         0.13 ± 0.06      0.17 ± 0.08      0.17 ± 0.23    2005.3 - 2016.4  11.1 
WIEN      16.3730836        48.2188572        243.75789        -1.00 ± 0.15      0.84 ± 0.20     -0.67 ± 0.63    2004.0 - 2016.4   7.2 
WLBH       7.3512992        48.4151715        819.06861        -0.02 ± 0.06     -0.26 ± 0.08     -2.88 ± 0.27    2004.0 - 2016.4  12.4 
WT21      12.8764985        49.1451204        657.37282         0.05 ± 0.09      0.11 ± 0.12     -0.00 ± 0.36    2010.8 - 2016.4   5.6 
WTZR      12.8789111        49.1441992        666.02311        -0.03 ± 0.04      0.15 ± 0.05     -0.15 ± 0.09    2004.0 - 2016.4  11.4 
ZADA      15.2275901        44.1131766         64.30733         0.15 ± 0.12      2.91 ± 0.13     -0.37 ± 0.48    2011.7 - 2016.4   4.7 
ZIM2       7.4650320        46.8770945        956.44284        -0.09 ± 0.04      0.34 ± 0.05      0.94 ± 0.13    2009.4 - 2016.4   7.0 
ZIMM       7.4652781        46.8770983        956.34057        -0.13 ± 0.04      0.38 ± 0.04      0.95 ± 0.12    2004.0 - 2016.4  12.4 
ZOUF      12.9735532        46.5572211       1946.50794         0.10 ± 0.04      0.89 ± 0.05      1.29 ± 0.16    2005.0 - 2016.4  11.4 
